Game,Type,Format,Material/Prep Required,Scoring,Description
"Rapid-Fire This or That","Social","2 Teams","Prepared list of binary holiday questions","1 Pt / Correct Guess","Teams guess the majority preference on holiday topics (e.g. 'Elf' vs 'Home Alone')."
"Balloon Waddle","Physical","Pairs (2 ppl)","Balloons (plenty for everyone)","3 Pts Each","Pairs race waddling with a balloon between their backs. Don't drop it!"
"Guess Who?","Social","FFA","Slips of paper, pens, bowl","10 Pts / Correct Guess","Everyone writes a fun fact. Guess who the fact belongs to!"
"Real or Fake Christmas Fact?","Mental","Mixed Teams","List of true/false Christmas trivia facts","1 Pt / Correct Answer","Spot the fake Christmas traditions and trivia."
"Emoji Decoders","Mental","Small Squads (3-4 ppl)","Slides/images of emoji puzzles on phone/TV","1 Pt / Round Win","Decipher movie/song titles written in emojis."
"Holiday Charades","Social","Mixed Teams","Slips of paper with holiday prompts, timer, bowl/hat","1 Pt / Round Win","Classic charades with a festive twist. Act it out!"
"Bow Battle Royale","Physical","FFA (Last Standing)","3 Stick-on Bows per person","10 Pts (Winner)","Protect the bows on your back while trying to survive. Last one with bows wins!"
"Balloon Scoop Race","Physical","1v1 Head-to-Head","Balloons, Buckets, Cotton Balls/Ping Pong Balls","5 Pts (Winner)","Keep a balloon in the air while scooping balls into a bucket against the clock."
"Squawk & Stack","Physical","1v1 Head-to-Head","Party Squawkers, Solo Cups, Ping Pong Balls","5 Pts (Winner)","Blow into party squawkers to knock balls off cups, then stack them up!"
"Speed Cup Stack","Physical","1v1 Head-to-Head","10 Cups per player","5 Pts (Winner)","Cycle stack 10 cups into a pyramid and back down as fast as possible."
